epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,18199.5,0.71088,0.64655,1.08857,0.78167,0.44485,0.53558,0.44064,0.7607,0.78159,1.1572,0.000274148,0.000274148,0.000274148
67,18468.6,0.6851,0.60435,1.08599,0.69931,0.52364,0.57729,0.47559,0.78742,0.75368,1.17013,0.000266535,0.000266535,0.000266535
68,18735.8,0.68676,0.63885,1.08069,0.65822,0.54038,0.58167,0.4801,0.80891,0.75889,1.21305,0.000258922,0.000258922,0.000258922
69,19003.7,0.71006,0.649,1.09891,0.6899,0.50849,0.54336,0.44426,0.77422,0.74178,1.17141,0.000251309,0.000251309,0.000251309
70,19271,0.65885,0.6066,1.06688,0.70919,0.48868,0.52102,0.42407,0.76689,0.74878,1.18441,0.000243696,0.000243696,0.000243696
71,19537.8,0.67544,0.61063,1.07735,0.72978,0.4756,0.52516,0.43158,0.74761,0.75197,1.16514,0.000236083,0.000236083,0.000236083
72,19811.3,0.66608,0.59271,1.07545,0.72221,0.47961,0.53446,0.43158,0.79749,0.75508,1.20651,0.00022847,0.00022847,0.00022847
73,20148.7,0.68497,0.61775,1.08097,0.91502,0.46602,0.53524,0.43941,0.76384,0.76301,1.18171,0.000220857,0.000220857,0.000220857
74,20579.1,0.67296,0.61284,1.08693,0.71321,0.5152,0.54392,0.4483,0.76251,0.74717,1.16643,0.000213244,0.000213244,0.000213244
75,20984.7,0.6656,0.59714,1.07313,0.72673,0.50561,0.54764,0.45443,0.77196,0.73673,1.16538,0.000205631,0.000205631,0.000205631
76,21395.9,0.66641,0.59896,1.07324,0.73057,0.5118,0.57662,0.47863,0.75573,0.72206,1.16007,0.000198018,0.000198018,0.000198018
77,21811.3,0.64749,0.56524,1.05729,0.72156,0.4856,0.53902,0.45522,0.7358,0.72893,1.13752,0.000190404,0.000190404,0.000190404
78,22219.3,0.6649,0.60233,1.07119,0.72683,0.49563,0.53366,0.4437,0.76886,0.70372,1.16781,0.000182791,0.000182791,0.000182791
79,22596.1,0.65915,0.58244,1.07035,0.73345,0.48765,0.53702,0.44491,0.77694,0.70497,1.16811,0.000175178,0.000175178,0.000175178
80,23000,0.65061,0.57534,1.07571,0.76551,0.47322,0.52957,0.44102,0.78687,0.70954,1.17004,0.000167565,0.000167565,0.000167565
81,23405.7,0.65281,0.59422,1.08073,0.7408,0.49826,0.5477,0.45669,0.75206,0.70952,1.14773,0.000159952,0.000159952,0.000159952
82,23797.3,0.63241,0.5403,1.06412,0.51904,0.56019,0.5454,0.45545,0.75108,0.73652,1.16007,0.000152339,0.000152339,0.000152339
83,24209.8,0.65334,0.58194,1.06075,0.73812,0.4742,0.52486,0.43857,0.73579,0.7287,1.14563,0.000144726,0.000144726,0.000144726
84,24620,0.64142,0.55898,1.05129,0.73095,0.47016,0.50802,0.42492,0.7463,0.7513,1.14778,0.000137113,0.000137113,0.000137113
85,24890.8,0.63188,0.55771,1.04817,0.74909,0.46611,0.51056,0.42084,0.75876,0.75286,1.15936,0.0001295,0.0001295,0.0001295
86,25158,0.62212,0.55027,1.05654,0.73891,0.47219,0.52706,0.4396,0.73756,0.72773,1.1384,0.000121887,0.000121887,0.000121887
87,25424.8,0.62405,0.53178,1.06002,0.74622,0.51111,0.54843,0.45968,0.7414,0.72535,1.14017,0.000114273,0.000114273,0.000114273
88,25793.1,0.61169,0.53604,1.03799,0.72305,0.50873,0.54285,0.45188,0.73289,0.73768,1.13626,0.00010666,0.00010666,0.00010666
89,26201.8,0.63277,0.53324,1.05113,0.74455,0.47042,0.53827,0.45698,0.75335,0.7596,1.15273,9.90472e-05,9.90472e-05,9.90472e-05
90,26627,0.62243,0.53461,1.04057,0.76712,0.46957,0.53462,0.44794,0.74248,0.7468,1.15006,9.14341e-05,9.14341e-05,9.14341e-05
91,27032,0.48071,0.4366,0.9946,0.75327,0.46296,0.53323,0.44364,0.7416,0.7435,1.16535,8.3821e-05,8.3821e-05,8.3821e-05
92,27434.1,0.47732,0.40979,0.99139,0.91321,0.47332,0.531,0.44468,0.72625,0.74892,1.14259,7.62079e-05,7.62079e-05,7.62079e-05
93,27780.6,0.47112,0.40282,0.97164,0.92352,0.46058,0.53815,0.44953,0.72466,0.7461,1.14441,6.85948e-05,6.85948e-05,6.85948e-05
94,28047.6,0.46303,0.39429,0.98137,0.64096,0.55735,0.55529,0.46481,0.72983,0.75582,1.14204,6.09817e-05,6.09817e-05,6.09817e-05
95,28313.4,0.45351,0.38395,0.96306,0.94938,0.44773,0.52942,0.44267,0.7299,0.73488,1.14148,5.33686e-05,5.33686e-05,5.33686e-05
96,28578.4,0.45235,0.37387,0.9703,0.78197,0.44152,0.55226,0.46262,0.72473,0.72519,1.13707,4.57555e-05,4.57555e-05,4.57555e-05
97,28843.6,0.4602,0.39291,0.97768,0.43102,0.52932,0.55362,0.46966,0.713,0.70601,1.12676,3.81424e-05,3.81424e-05,3.81424e-05
98,29107.7,0.44667,0.37637,0.97391,0.70782,0.47627,0.55263,0.4667,0.71483,0.70576,1.12675,3.05293e-05,3.05293e-05,3.05293e-05
99,29371.7,0.44378,0.36322,0.96839,0.78532,0.43629,0.55425,0.47052,0.71782,0.7059,1.12757,2.29162e-05,2.29162e-05,2.29162e-05
100,29637,0.44412,0.36895,0.95006,0.78666,0.43526,0.55435,0.46844,0.71286,0.70926,1.12502,1.53031e-05,1.53031e-05,1.53031e-05
